Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Malden,New_York,US,2280,4,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,1,1,Ocean,Yes,466,0,Apartment,63708
Claremont,Los_Angeles,US,1816,2,4,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,0,2,Lake,No,335,2,Apartment,311325
Copperas Cove,Chicago,US,2306,5,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,2,2,Lake,Yes,208,1,Apartment,433058
Columbia Heights,Chicago,US,3480,2,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,2,2,Country,No,147,3,Villa,304549
Opportunity,Los_Angeles,US,2648,5,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,3,2,Lake,No,377,0,House,435842
Carlsbad,Denver,US,2540,4,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,2,3,Ocean,Yes,265,0,Villa,82874
Middletown,New_York,US,2728,1,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,5,2,Lake,Yes,303,1,Apartment,269106
Morningside Heights,New_York,US,3199,1,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,1,3,Country,No,222,3,Villa,275540
Mira Mesa,Los_Angeles,US,1788,4,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,3,3,City,No,227,0,Villa,114419
Fitchburg,New_York,US,2270,3,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,2,3,Ocean,Yes,442,0,Apartment,314117
Fresno,Chicago,US,1851,2,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,1,3,Lake,No,321,3,Apartment,408469
Dublin,New_York,US,1395,1,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,0,1,Ocean,No,163,3,House,316059
Granger,Indiana,US,2407,4,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,0,3,Lake,No,181,0,House,252467
Clermont,New_York,US,1700,3,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,4,2,Country,Yes,193,2,Villa,443395
Pahrump,Los_Angeles,US,2375,5,3,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,5,1,Country,No,195,3,Apartment,462698
Kearns,Denver,US,3626,4,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,3,3,Ocean,No,261,3,Villa,374193
Mira Mesa,Los_Angeles,US,1205,4,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,5,1,Country,Yes,163,3,Apartment,236001
Palm Desert,Los_Angeles,US,3441,2,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,0,3,1,Ocean,No,262,0,Apartment,120768
Bon Air,New_York,US,2032,5,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,3,2,Lake,No,143,0,Villa,119540
Punta Gorda Isles,New_York,US,1190,5,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,2,2,Sea,No,410,2,House,423034
Waterbury,New_York,US,1900,1,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,1,2,City,Yes,101,0,House,77010
Mira Mesa,Los_Angeles,US,3589,1,2,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,1,3,Country,No,190,2,Apartment,423344
Rolla,Chicago,US,3354,2,1,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,0,4,3,City,Yes,313,2,Apartment,473822
Bon Air,New_York,US,2321,2,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,3,3,Lake,Yes,491,3,Villa,333009
Dumont,New_York,US,3801,4,2,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,1,1,Sea,Yes,220,1,Villa,210251
Riverbank,Los_Angeles,US,2064,2,3,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,1,3,Sea,Yes,375,1,House,459340
Bon Air,New_York,US,1732,4,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,2,Lake,Yes,312,0,House,204806
Lakewood,New_York,US,3385,4,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,2,Sea,Yes,440,3,House,315161
South Lawndale,Chicago,US,2890,1,1,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,1,3,Sea,Yes,375,2,Villa,230061
Yonkers,New_York,US,1581,3,4,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,5,2,Ocean,Yes,207,1,House,376214
Palm Valley,New_York,US,2414,5,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,4,3,Lake,No,220,3,House,97637
Nutley,New_York,US,2606,3,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,1,2,Country,No,167,2,House,222210
Mira Mesa,Los_Angeles,US,3090,5,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,5,2,Sea,Yes,480,1,House,141558
Crystal Lake,Chicago,US,2153,5,1,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,2,1,Ocean,No,328,2,House,301108
Lower West Side,Chicago,US,3968,4,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,5,0,1,Lake,Yes,294,0,Villa,326905
Bothell West,Los_Angeles,US,2751,4,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,0,2,Sea,No,351,2,Villa,482929
Canton,Detroit,US,1740,5,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,5,1,City,No,274,0,Villa,420954
Ada,Chicago,US,3274,1,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,1,2,Country,Yes,262,2,Apartment,66648
Jackson,Chicago,US,3232,3,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,5,1,Lake,Yes,209,3,Villa,441302
Searcy,Chicago,US,2430,5,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,2,1,Sea,No,248,0,House,203568
Taunton,New_York,US,3886,3,1,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,3,Sea,Yes,108,2,Apartment,491080
Greenville,Chicago,US,1280,4,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,1,2,Sea,Yes,493,2,Apartment,70050
Gainesville,New_York,US,3616,4,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,4,1,Lake,Yes,466,1,Apartment,362360
Utica,New_York,US,1466,2,1,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,3,2,City,No,276,1,Villa,212293
Camarillo,Los_Angeles,US,1842,2,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,2,1,City,No,191,0,Apartment,409582
Greenfield,Indiana,US,3002,2,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,1,1,Ocean,Yes,256,1,Apartment,314466
Crystal Lake,Chicago,US,1814,1,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,4,3,City,Yes,359,3,Villa,347354
Brighton Beach,New_York,US,1112,1,4,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,3,1,City,Yes,113,0,House,301017
Kendall,New_York,US,1197,1,4,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,5,3,Sea,Yes,475,1,House,349224
Tupelo,Chicago,US,3065,1,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,3,2,Country,No,441,1,House,425359
Troutdale,Los_Angeles,US,3707,2,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,5,3,Sea,No,362,1,Apartment,351805
Harrisburg,New_York,US,1115,4,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,4,3,Ocean,No,199,0,Villa,324508
New Canaan,New_York,US,3860,5,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,3,Country,Yes,324,2,House,301878
North Tustin,Los_Angeles,US,1135,3,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,3,3,City,No,350,3,Villa,98241
Grand Forks,Chicago,US,1907,3,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,5,1,2,Ocean,Yes,367,1,House,447146
Leland,New_York,US,1872,2,4,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,4,3,Ocean,Yes,387,0,Apartment,382981
Laguna Niguel,Los_Angeles,US,3904,1,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,5,5,1,Sea,Yes,405,2,House,203289
Encinitas,Los_Angeles,US,2571,1,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,1,3,3,Ocean,No,232,1,Villa,61404
Lower West Side,Chicago,US,1485,1,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,3,3,3,City,No,465,3,Villa,233130
Far Rockaway,New_York,US,3796,5,2,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,0,1,Country,No,150,3,Apartment,480458
Tyler,Chicago,US,1581,3,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,4,1,Country,No,137,3,House,366573
Dumont,New_York,US,3119,3,3,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,3,5,3,Country,Yes,296,1,Apartment,434479
Granger,Indiana,US,3413,3,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,5,0,3,Lake,Yes,419,3,Villa,479871
Massapequa,New_York,US,1095,1,3,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,2,1,City,No,491,3,Villa,439384
Palm Desert,Los_Angeles,US,1650,1,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,1,1,Lake,No,127,3,Apartment,157376
Bryn Mawr-Skyway,Los_Angeles,US,2028,3,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,5,1,City,Yes,233,2,Apartment,282146
Middle River,New_York,US,3328,4,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,4,3,Sea,Yes,132,0,Villa,395060
Lower West Side,Chicago,US,1944,4,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,1,2,Sea,No,219,1,House,443098
Keene,New_York,US,1215,4,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,3,2,Sea,Yes,316,0,Villa,496221
Rutland,New_York,US,3007,5,4,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,0,2,City,No,207,1,Apartment,123071
Malden,New_York,US,2603,3,3,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,0,1,Sea,No,221,3,Apartment,456509
Searcy,Chicago,US,1176,1,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,4,3,City,No,245,0,Villa,499388
Middle River,New_York,US,1591,4,2,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,4,2,Sea,Yes,456,2,Villa,156608
Saratoga Springs,Denver,US,3779,4,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,5,1,Lake,Yes,147,0,Villa,229556
Longview,Chicago,US,1710,4,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,1,3,City,Yes,190,1,Villa,156783
Covington,New_York,US,2866,5,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,4,2,Country,Yes,476,3,Villa,61060
Pleasant Prairie,Chicago,US,2644,3,4,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,4,2,City,Yes,296,3,Apartment,276280
Saratoga Springs,Denver,US,3540,2,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,4,2,Country,No,298,2,Apartment,174173
Norwalk,New_York,US,3155,2,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,3,2,Lake,No,195,2,House,58429
Aurora,Denver,US,1302,4,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,3,3,1,Ocean,Yes,379,3,House,409269
Peabody,New_York,US,1418,1,4,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,2,2,Ocean,Yes,302,3,House,189599
Chillum,New_York,US,2459,5,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,0,2,1,Country,No,266,0,House,180774
Granger,Indiana,US,2520,1,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,1,2,2,Country,Yes,276,0,Apartment,159370
New City,Chicago,US,1003,3,1,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,3,1,Ocean,Yes,158,1,Apartment,404419
Lino Lakes,Chicago,US,2631,5,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,3,1,Sea,No,246,3,House,441290
Lutz,New_York,US,1685,2,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,4,1,Country,Yes,232,3,Villa,415527
Dublin,New_York,US,3312,4,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,4,3,Ocean,No,377,1,Villa,482844
Peabody,New_York,US,3760,2,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,5,2,Country,Yes,297,3,Apartment,151451
West Chester,New_York,US,3484,1,1,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,2,2,Sea,No,140,2,Apartment,475062
Palestine,Chicago,US,1145,1,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,5,3,Country,No,495,2,Apartment,336614
Mechanicsville,New_York,US,3429,4,1,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,0,4,3,Lake,Yes,101,1,Apartment,290031
Boston,New_York,US,1840,4,4,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,3,3,Country,Yes,365,3,Apartment,53968
South Whittier,Los_Angeles,US,1276,2,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,3,2,Country,Yes,102,2,Apartment,176466
Odessa,Chicago,US,1461,1,1,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,2,2,Lake,Yes,102,1,House,264494
Bon Air,New_York,US,1553,1,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,1,1,Lake,Yes,397,0,House,164421
Greenfield,Indiana,US,2514,2,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,4,3,City,No,418,1,Villa,102941
Schererville,Chicago,US,1935,5,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,2,City,No,189,2,Villa,461572
Hutchinson,Chicago,US,1610,5,5,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,5,1,Country,Yes,167,1,House,189825
Fresno,Chicago,US,1611,2,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,1,3,Country,Yes,382,2,Villa,312598
Nutley,New_York,US,2271,4,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,2,1,City,Yes,202,0,Apartment,155304
Santa Maria,Los_Angeles,US,2411,1,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,4,2,Country,No,307,1,Apartment,432504
Brighton Beach,New_York,US,1150,3,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,2,2,City,No,336,1,Apartment,442583
Sun City Center,New_York,US,2212,5,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,2,Sea,No,449,2,Villa,318787
Lino Lakes,Chicago,US,1485,4,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,2,2,Sea,No,181,1,House,75681
Pahrump,Los_Angeles,US,1056,2,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,2,1,Ocean,No,455,2,Villa,254474
Bothell,Los_Angeles,US,3386,2,5,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,4,3,Country,No,454,1,Apartment,178236
Kahului,Honolulu,US,3212,3,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,2,1,City,Yes,304,1,Villa,284407
Columbia Heights,Chicago,US,1771,1,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,2,1,Lake,No,452,2,Villa,236697
Peabody,New_York,US,3213,1,1,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,1,1,Ocean,Yes,360,1,Apartment,246993
Beaumont,Los_Angeles,US,2854,3,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,2,2,City,No,232,2,Villa,138106
American Canyon,Los_Angeles,US,1362,4,4,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,1,2,City,No,426,0,Apartment,388910
Lompoc,Los_Angeles,US,1968,3,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,0,3,3,Ocean,Yes,235,1,Apartment,225694
West Des Moines,Chicago,US,1922,4,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,2,3,Ocean,No,339,0,Apartment,210767
Columbia Heights,Chicago,US,2864,4,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,2,3,Lake,No,230,2,Apartment,75637
Newburgh,New_York,US,3909,1,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,3,2,Lake,Yes,177,0,Villa,369138
Schererville,Chicago,US,1278,4,1,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,1,3,Sea,No,340,3,Apartment,192612
Lexington,New_York,US,2958,4,3,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,5,5,3,City,Yes,351,1,Villa,133396
Hutchinson,Chicago,US,2464,4,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,2,2,Lake,Yes,212,3,Villa,455900
Encinitas,Los_Angeles,US,3499,1,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,1,3,City,Yes,278,2,Apartment,438179
Taunton,New_York,US,3425,2,1,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,0,2,3,Country,Yes,406,1,House,377989
Ken Caryl,Denver,US,3264,3,5,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,4,1,City,Yes,412,1,House,324986
Aurora,Denver,US,3904,5,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,5,1,City,Yes,182,1,House,431736
Gates-North Gates,New_York,US,3521,5,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,3,Country,Yes,361,0,Apartment,497811
Lutz,New_York,US,3813,4,1,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,1,Ocean,Yes,324,2,Villa,87239
Columbia Heights,Chicago,US,2443,1,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,2,3,Lake,Yes,400,0,House,405849
Scarsdale,New_York,US,2233,4,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,2,1,Country,No,456,0,Apartment,417927
Clermont,New_York,US,1850,2,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,4,4,1,Country,Yes,304,3,House,238846
Lompoc,Los_Angeles,US,3704,1,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,2,3,Sea,Yes,185,0,Villa,60072
Hutchinson,Chicago,US,1100,2,4,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,4,1,Ocean,Yes,468,3,Villa,245360
Sterling,New_York,US,1942,1,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,2,3,Country,No,285,2,House,365234
Kent,Los_Angeles,US,1671,4,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,4,2,Country,No,471,2,House,197394
Evergreen Park,Chicago,US,3793,1,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,1,2,Lake,Yes,289,1,Apartment,339426
Lakewood,New_York,US,1326,4,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,4,3,City,No,281,0,Villa,182633
Waverly,Detroit,US,3025,4,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,3,2,Country,No,125,3,Apartment,211333
Westchester,Chicago,US,3817,3,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,3,3,Sea,No,161,2,Villa,346403
Keene,New_York,US,3613,1,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,1,2,Country,Yes,341,3,House,141840
Kearns,Denver,US,2234,3,2,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,1,2,Lake,Yes,495,0,Apartment,328820
Bridgeport,New_York,US,2529,2,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,1,2,2,Lake,Yes,286,1,Apartment,391287
Lebanon,New_York,US,3122,4,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,4,1,Country,Yes,247,2,Villa,350936
Kahului,Honolulu,US,1861,3,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,5,2,1,City,No,373,2,House,134229
Scarsdale,New_York,US,1640,4,5,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,1,2,Country,Yes,223,3,Villa,135866
Columbia Heights,Chicago,US,1037,3,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,3,3,Country,Yes,407,1,Villa,489230
Far Rockaway,New_York,US,2116,4,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,4,2,Lake,Yes,415,1,Villa,183554
Lutz,New_York,US,1362,1,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,2,1,Ocean,Yes,199,1,Apartment,438427
Brentwood Estates,Chicago,US,1835,3,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,0,3,Sea,Yes,460,0,Apartment,177962
Peabody,New_York,US,1300,4,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,2,2,Lake,Yes,327,1,Villa,459551
Taunton,New_York,US,1179,5,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,4,3,Ocean,Yes,274,3,Villa,125638
Fitchburg,New_York,US,2562,4,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,0,3,Country,No,477,3,Villa,280187
Leland,New_York,US,3632,5,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,4,1,1,Lake,Yes,218,0,Apartment,178029
Grand Forks,Chicago,US,3672,4,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,0,2,City,Yes,385,1,Villa,216023
Brunswick,New_York,US,2119,3,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,5,1,1,Country,No,429,1,Apartment,379108
Gilbert,Phoenix,US,1626,1,3,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,3,4,1,Ocean,Yes,156,2,Apartment,286033
Searcy,Chicago,US,3613,5,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,1,3,Lake,Yes,486,2,House,143003
Port Huron,Detroit,US,3346,5,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,4,3,Ocean,Yes,335,0,Villa,188596
Acworth,New_York,US,3235,5,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,4,3,Ocean,No,257,3,Villa,215542
Harrisburg,New_York,US,2681,3,5,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,4,3,Ocean,Yes,185,2,Villa,125127
Norwalk,New_York,US,2392,2,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,1,1,Ocean,No,131,0,Villa,241248
Palestine,Chicago,US,3278,5,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,5,1,Lake,Yes,207,2,House,181297
Granger,Indiana,US,3926,2,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,4,2,Ocean,Yes,165,1,Villa,275237
Gilbert,Phoenix,US,1464,2,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,0,1,3,Country,Yes,290,3,Villa,120837
Granger,Indiana,US,1462,5,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,3,2,Sea,Yes,403,0,House,327752
Ada,Chicago,US,1517,2,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,1,4,2,Lake,Yes,310,3,House,345408
Coralville,Chicago,US,2022,2,1,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,5,2,Sea,Yes,150,0,Apartment,329240
Visitacion Valley,Los_Angeles,US,1793,4,3,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,1,2,Lake,No,145,3,Apartment,413980
Scottsdale,Phoenix,US,1982,4,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,0,3,Ocean,No,239,0,Villa,453085
Searcy,Chicago,US,2894,1,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,4,3,Ocean,No,495,2,House,425791
Evergreen Park,Chicago,US,3049,1,5,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,3,1,Sea,No,136,2,House,210650
Brentwood Estates,Chicago,US,3803,4,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,3,5,3,Ocean,Yes,370,2,Apartment,123825
Gilbert,Phoenix,US,1567,4,2,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,5,1,Country,Yes,152,1,Villa,120433
Lexington,New_York,US,2377,2,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,0,1,Lake,Yes,152,2,House,296627
Palestine,Chicago,US,1207,4,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,5,3,Ocean,Yes,128,3,House,76970
Visitacion Valley,Los_Angeles,US,2165,3,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,2,3,1,Ocean,No,296,0,Apartment,196024
Bridgeport,New_York,US,2230,3,5,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,5,2,Country,Yes,363,3,Apartment,278861
Opportunity,Los_Angeles,US,1193,5,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,4,2,City,Yes,330,1,House,354105
Lexington,New_York,US,2691,1,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,4,2,1,Country,Yes,145,2,Villa,160439
Santa Maria,Los_Angeles,US,3546,1,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,3,3,City,Yes,479,1,Villa,202010
